laptop_id,Name,Price,Rating,Total_Reviews,Product_Link,Processor,RAM,Operating_System,Storage,Warranty
84,"HP Omnibook 3 2K WUXGA",72990,4.1,11,https://www.flipkart.com/hp-omnibook-3-2k-wuxga-snapdragon-x-16-gb-512-gb-ssd-windows-11-home-14-hz0024qu-laptop/p/itmbd5346cd09abc?pid=COMHZGK2ACSECZB5&lid=LSTCOMHZGK2ACSECZB52ALLPO&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_101&otracker=search&fm=organic&iid=en_yFECMEQfkAiTHRzprd7psARPHjIgTGFgJXJYmyiK3lJwusqXpgOPBhafa5Su8Wa9QDaMOpjaAqIhVlr2eDOqkK8WMJxc_eOD3pdFe_35DQWXuINVXdeUA48cZXf8Je7d&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Snapdragon X Processor","16 GB LPDDR5X RAM","Windows 11 Home","512 GB SSD","1 Year Onsite Service"
85,"ASUS Chromebook CX14",27290,3.9,611,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n4500-4-gb-64-gb-emmc-storage-chrome-os-cx1405cka-nk0154-cx1405cka-s60342/p/itm076cdd51ac69a?pid=COMHDDZ7PYJZSGUZ&lid=LSTCOMHDDZ7PYJZSGUZDQ7ISM&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_115&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHDDZ7PYJZSGUZ.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Celeron Dual Core Processor","4 GB LPDDR4X RAM",ChromeOS,NULL,"1 Year Onsite Warranty"
86,"HP 15 (i5 14th Gen)",82990,4.2,195,https://www.flipkart.com/hp-15-i5-14th-gen-intel-core-5-120u-24-gb-512-gb-ssd-windows-11-home-15-fd0262tu-thin-light-laptop/p/itm027a3317f4ff9?pid=COMHM94A7PHVCQT7&lid=LSTCOMHM94A7PHVCQT7QTPOH7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_102&otracker=search&fm=organic&iid=en_yFECMEQfkAiTHRzprd7psARPHjIgTGFgJXJYmyiK3lKlW13Gu284ZWH-NOE3QaY_ajNODExQ3AD2YwLVEpFEnHQxmIaeT1eVU6lHR1JOxyCXuINVXdeUA48cZXf8Je7d&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core 5 Processor","24 GB DDR5 RAM","Windows 11 Home","512 GB SSD","1 Year Onsite Service"
87,"MOTOROLA Motobook 60 Full Metal OLED (i7 14th Gen)",72990,4.4,1197,https://www.flipkart.com/motorola-motobook-60-full-metal-oled-i7-14th-gen-intel-core-7-series-2-240h-16-gb-512-gb-ssd-windows-11-home-14irh10r-thin-light-laptop/p/itm96df72a170b7f?pid=COMHAUZWRPCKAGKZ&lid=LSTCOMHAUZWRPCKAGKZOGJOIN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_116&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHAUZWRPCKAGKZ.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core 7 Processor (Series 2)","16 GB DDR5 RAM","64 bit Windows 11","512 GB SSD","1 Year Onsite Warranty"
88,"Samsung Galaxy Book5 AI Metal",91990,4.6,463,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-7-255u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itma9c081cdbe95d?pid=COMHE4ATBCUTGUYT&lid=LSTCOMHE4ATBCUTGUYTJZ7NHN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_117&otracker=search&fm=organic&iid=en_yFECMEQfkAiTHRzprd7psARPHjIgTGFgJXJYmyiK3lJUTSvXfz6OxiJrvyNKkqM1_54vlUw9QAlUFlRYR6QtY8H5LP6GMXD1iSKF2pPmS-SXuINVXdeUA48cZXf8Je7d&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core Ultra 7 Processor","16 GB LPDDR5X RAM","64 bit Windows 11","512 GB SSD","1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories"
89,"HP Victus (i5 14th Gen)",95746,3.3,3,https://www.flipkart.com/hp-victus-i5-14th-gen-intel-core-5-210-h-16-gb-512-gb-ssd-windows-11-home-6-graphics-nvidia-geforce-rtx-4050-15-fa2203tx-gaming-laptop/p/itm65704ff158138?pid=COMHK77SZSZHTEV7&lid=LSTCOMHK77SZSZHTEV7VVWD14&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_103&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHK77SZSZHTEV7.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core 5 Processor","16 GB DDR4 RAM","Windows 11","512 GB SSD","1 Year Onsite Service"
90,"HP OMEN AI",134990,4.5,112,https://www.flipkart.com/hp-omen-ai-amd-ryzen-7-octa-core-350-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-16-ap0165ax-gaming-laptop/p/itm5661c90728083?pid=COMHEHHXKFQSABXZ&lid=LSTCOMHEHHXKFQSABXZEF3JCN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_118&otracker=search&fm=organic&iid=en_yFECMEQfkAiTHRzprd7psARPHjIgTGFgJXJYmyiK3lJzJs4_m-CNpdIFp4I8eVjoSt8s0FwzStmVNuDw0YIb7vRQYaQqNgqexXd2bqUccoLqCFXhzdVKKDy5H43A1ndG&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen AI 7 Octa Core Processor","24 GB DDR5 RAM","Windows 11 Home","1 TB SSD","1 Year Onsite Warranty"
91,"ASUS Vivobook Go 15",58773,4.3,1845,https://www.flipkart.com/asus-vivobook-go-15-amd-ryzen-5-quad-core-7520u-16-gb-512-gb-ssd-windows-11-home-e1504fa-nj5542ws-e1504fa-nj1505ws-e1504fa-bq2414ws-thin-light-laptop/p/itm1af16aa906cf4?pid=COMH8VXVXPVQTHHR&lid=LSTCOMH8VXVXPVQTHHR13JD7X&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_104&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMH8VXVXPVQTHHR.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen 5 Quad Core Processor","16 GB LPDDR5 RAM","Windows 11 Home","512 GB SSD","1 Year Carry-in Warranty"
92,"HP OMEN AI",134990,4.5,112,https://www.flipkart.com/hp-omen-ai-amd-ryzen-7-octa-core-350-24-gb-1-tb-ssd-windows-11-home-8-gb-graphics-nvidia-geforce-rtx-5050-16-ap0165ax-gaming-laptop/p/itm5661c90728083?pid=COMHEHHXKFQSABXZ&lid=LSTCOMHEHHXKFQSABXZEF3JCN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_119&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHEHHXKFQSABXZ.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"AMD Ryzen AI 7 Octa Core Processor","24 GB DDR5 RAM","Windows 11 Home","1 TB SSD","1 Year Onsite Warranty"
93,"HP OmniBook 5(Previously Pavilion)",68990,4.4,228,https://www.flipkart.com/hp-omnibook-5-previously-pavilion-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-16-ba1123tu-thin-light-laptop/p/itm17c7ddcf83e55?pid=COMHA9GUP3FPVRJ2&lid=LSTCOMHA9GUP3FPVRJ2SKNIPP&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_5_105&otracker=search&fm=organic&iid=9a2c5c64-62a7-4d15-b2d2-00db59da1213.COMHA9GUP3FPVRJ2.SEARCH&ppt=sp&ppn=sp&ssid=53t5ctxjr40000001784730939724&qH=312f91285e048e09&ov_redirect=true,"Intel Core i5 Processor (13th Gen)","16 GB LPDDR5X RAM","Windows 11","512 GB SSD","1 Year Onsite Service"
