Page,Item_No,Name,Price,Rating,Reviews,Image_URL,Product_Link,Specifications
1,11,HP 15 (i5 14th Gen) Intel Core 5 120U - (24 GB/512 GB SSD/Windows 11 Home) 15-fd0262TU Thin and Light ...,"₹82,990",4.2,195 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/z/i/b/-original-imahzu4rwxnezv9x.jpeg?q=70,https://www.flipkart.com/hp-15-i5-14th-gen-intel-core-5-120u-24-gb-512-gb-ssd-windows-11-home-15-fd0262tu-thin-light-laptop/p/itm027a3317f4ff9?pid=COMHM94A7PHVCQT7&lid=LSTCOMHM94A7PHVCQT7QTPOH7&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_11&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRATpXeUTieUaPOo9Y-dporTVBeRUaazKxCvHlnM3tgI6r4PScISDLVVYhq3tI9MjrRygHt4WDvHYEs7oHhAF7TE&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core 5 Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365(1-Year Validity) | 1 Year Onsite Service
1,12,DELL 15 (Previouly Inspiron) AMD Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) DC15255 T...,"₹57,990",4.5,6 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/m/x/0/-original-imahzv9agugnddrg.jpeg?q=70,https://www.flipkart.com/dell-15-previouly-inspiron-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-dc15255-thin-light-laptop/p/itmb80bb4e819164?pid=COMHDXXUHGDCHMQX&lid=LSTCOMHDXXUHGDCHMQXUEUE9X&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_12&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRDVp0GRl1C-vRFz4t702EfrTz1Ij0nnUnEuzeQV0Xdp6nhxtx2ZQZ_phLGtbMBsfGAQ2Z9iRvthbmU5ESsbiIwK&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,AMD Ryzen 5 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Operating System | 512 GB SSD | 38.1 cm (15 Inch) Display | 1 Year Onsite Warranty
1,13,Acer Aspire 3 Intel Core i5 13th Gen 1334U - (16 GB/512 GB SSD/Windows 11 Home) A324-53 Thin and Light...,"₹46,990",4.3,"1,736 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/1/e/v/-original-imahg53ufd4jgtqw.jpeg?q=70,https://www.flipkart.com/acer-aspire-3-intel-core-i5-13th-gen-1334u-16-gb-512-gb-ssd-windows-11-home-a324-53-thin-light-laptop/p/itm707770fddc7e9?pid=COMH4B6CGZKHKUV3&lid=LSTCOMH4B6CGZKHKUV37HVWQK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_13&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMH4B6CGZKHKUV3.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i5 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Carry-in Warranty
1,14,ASUS Chromebook CX14 Intel Celeron Dual Core N50 - (4 GB/64 GB EMMC Storage/Chrome OS) CX1405CTA-S6062...,"₹19,990",3.9,474 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/f/u/d/-original-imahmhhncbddugp2.jpeg?q=70,https://www.flipkart.com/asus-chromebook-cx14-intel-celeron-dual-core-n50-4-gb-64-gb-emmc-storage-chrome-os-cx1405cta-s60620-laptop/p/itm5a14f3731bf15?pid=COMHKQA3R42GHHJF&lid=LSTCOMHKQA3R42GHHJF7ASEFY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_14&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHKQA3R42GHHJF.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Celeron Dual Core Processor | 4 GB LPDDR5 RAM | Chrome Operating System | 35.56 cm (14 inch) Display | MyASUS | 1 Year Onsite Warranty
1,15,ASUS Expertbook P3 Metal High-performance processor with 1 Yr ADP Intel Core i7 13th Gen 13620H - (32 ...,"₹87,990",4.3,284 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/p/g/-original-imahg53ujvb5xj2g.jpeg?q=70,https://www.flipkart.com/asus-expertbook-p3-metal-high-performance-processor-1-yr-adp-intel-core-i7-13th-gen-13620h-32-gb-1-tb-ssd-windows-11-home-p3405cva-ly0308ws-thin-light-laptop/p/itm97eeb89e48af8?pid=COMHB7VN6ZDDZ946&lid=LSTCOMHB7VN6ZDDZ946RHQCBL&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHB7VN6ZDDZ946.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,"Intel Core i7 Processor (13th Gen) | 32 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
1,16,HP MSO 2024 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) 15-fd0574TU / 15 - fd066...,"₹50,490",4.2,"3,329 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/q/u/15-fd0668tu-thin-and-light-laptop-hp-original-imahest3rdkyruss.jpeg?q=70,https://www.flipkart.com/hp-mso-2024-intel-core-i3-13th-gen-1315u-16-gb-512-gb-ssd-windows-11-home-15-fd0574tu-15-fd0668tu-thin-light-laptop/p/itmcb9e5b7b2d3fb?pid=COMHBFRJEWGN4FMY&lid=LSTCOMHBFRJEWGN4FMYK9ZQ2H&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHBFRJEWGN4FMY.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty
1,17,Samsung Galaxy Book5 AI Metal Intel Core Ultra 7 255U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,"₹91,990",4.6,463 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/2/e/-original-imahzcf3jkkjkhgc.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-7-255u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itma9c081cdbe95d?pid=COMHE4ATBCUTGUYT&lid=LSTCOMHE4ATBCUTGUYTJZ7NHN&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_17&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRDDDmLcmVwnILLBxhgRGMf6EpvNAz_V8OztKE0mhnVc5WBvhs4YZDb_tLK308w1JjvbsGiSNV8pmWP5XKcqigqF&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core Ultra 7 Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
1,18,Samsung Galaxy Book5 AI Metal Intel Core Ultra 5 225U - (16 GB/512 GB SSD/Windows 11 Home) NP750XHD Th...,"₹84,990",4.6,837 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/2/e/-original-imahzcf3jkkjkhgc.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-book5-ai-metal-intel-core-ultra-5-225u-16-gb-512-gb-ssd-windows-11-home-np750xhd-thin-light-laptop/p/itmc33d2563d0ffc?pid=COMHE4ATPCZ9FXRP&lid=LSTCOMHE4ATPCZ9FXRP7N1GVG&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRD974XLiIcVqp5lBfZkXnpWvT9zE8RJe0eekVb3otSNh18RJRVMZ26KUCZrvwX8t-nbsGiSNV8pmWP5XKcqigqF&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
1,19,Primebook 2 Pro (2025) in-Built AI MediaTek Helio G99 (MT8781) - (8 GB/128 GB/Android 15) PBG9914128#4...,"₹26,990",4.4,"1,547 Ratings",https://rukminim2.flixcart.com/image/312/312/xif0q/computer/t/i/8/-original-imahfskhzaahq9es.jpeg?q=70,https://www.flipkart.com/primebook-2-pro-2025-in-built-ai-mediatek-helio-g99-mt8781-8-gb-128-gb-android-15-pbg9914128-4278c-laptop/p/itmdbf8db6a6f79a?pid=COMHDGD5FH6NZPHD&lid=LSTCOMHDGD5FH6NZPHD567UTY&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHDGD5FH6NZPHD.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,MediaTek Helio G99 (MT8781) Processor | 8 GB LPDDR4X RAM | 64 bit Android Operating System | 35.81 cm (14.1 Inch) Display | 1 Year Onsite Warranty
1,20,ASUS ExpertBook P1 Intel Core i7 13th Gen 13620H - (32 GB/512 GB SSD/Windows 11 Home) P1403CVA-S60940W...,"₹84,990",4.3,995 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/x/0/p/-enriched-transparent-original-imahg53ukzn9grvv.png?q=70,https://www.flipkart.com/asus-expertbook-p1-intel-core-i7-13th-gen-13620h-32-gb-512-gb-ssd-windows-11-home-p1403cva-s60940ws-thin-light-laptop/p/itmc8b94112958cf?pid=COMH8Z2QT98FWRGH&lid=LSTCOMH8Z2QT98FWRGHHOIA2G&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMH8Z2QT98FWRGH.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,"Intel Core i7 Processor (13th Gen) | 32 GB DDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
1,21,HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/512 GB SSD/Windows 11 Home) 14-ep1151TU/14-gr1036TU/14-ep...,"₹79,990",4.1,790 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/o/9/k/-original-imahgry8nwkejmae.jpeg?q=70,https://www.flipkart.com/hp-14-ai-pc-intel-core-ultra-7-155h-16-gb-512-gb-ssd-windows-11-home-14-ep1151tu-14-gr1036tu-14-ep1151tu-thin-light-laptop/p/itm4c681812b88bf?pid=COMHF8G932EYZAJF&lid=LSTCOMHF8G932EYZAJFOUI9CA&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRCy01Y_oanBnuEM6Bln6NT1hgaIvJFNB98mBEnXiYMzyf2kCd72yAFc0CyXscmDAPlVS-GQOg3ZAXVT6rbPpHKp&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core Ultra 7 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty
1,22,HP 14 AI PC Intel Core Ultra 7 155H - (16 GB/1 TB SSD/Windows 11 Home) 14-ep1152TU Thin and Light Lapt...,"₹85,990",4.1,790 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/a/h/z/-original-imahgh9exfmtg44y.jpeg?q=70,https://www.flipkart.com/hp-14-ai-pc-intel-core-ultra-7-155h-16-gb-1-tb-ssd-windows-11-home-14-ep1152tu-thin-light-laptop/p/itm448874079369f?pid=COMHG98EXZ3AJYZN&lid=LSTCOMHG98EXZ3AJYZNODD67U&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_22&otracker=search&fm=organic&iid=en_kXWkwc5WAOHuBn_u5WwmbbJxdN-ia_TgvRpw6L_mTRBJ6zY_lDkeUy-tLKlHFNd_VIJd7sngn5RzXYuDdAv4q6BbX7UKBYdLI6dBk_KzR-ZVS-GQOg3ZAXVT6rbPpHKp&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,Intel Core Ultra 7 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty
1,23,"Acer Aspire 15 MS Office 2024 + M365 Basic, AMD Ryzen 3 Quad Core 7330U - (8 GB/256 GB SSD/Windows 11 ...","₹39,990",3.6,30 Ratings,https://rukminim2.flixcart.com/image/312/312/xif0q/computer/0/t/s/-original-imahnt7jpy3mrfgz.jpeg?q=70,https://www.flipkart.com/acer-aspire-15-ms-office-2024-m365-basic-amd-ryzen-3-quad-core-7330u-8-gb-256-gb-ssd-windows-11-home-a311-45-notebook/p/itm679af52f35d6d?pid=COMHMHYH9GDHGXDA&lid=LSTCOMHMHYH9GDHGXDAYAE4GK&marketplace=FLIPKART&q=laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=search&fm=organic&iid=ee753269-5c34-4051-94b6-3152be90bc26.COMHMHYH9GDHGXDA.SEARCH&ppt=None&ppn=None&ssid=56f49g3z6o0000001784730917322&qH=312f91285e048e09&ov_redirect=true,AMD Ryzen 3 Quad Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 256 GB SSD | 39.62 cm (15.6 inch) Display | MSO | 1 Year Onsite Service
